username,entries
0000,17
1of1_sportscards,6
2048,14
aaron,4
aaronahaddad,2
accordingtohen,18
acebright86,1
akicks,3
alphablok,180
alphafive,1
andrewgarrett41,5
andtercel,2
antimatter,1
autom8ed,1
balward,7
bbv00248,7
bennyz,8
big_bees,11
bigdobs,45
billcot,47
billfd,5
birdman03,3
bjamps,71
bluetitans19,5
bmw1909,36
bpfergu,25
brftw,7
brian,3
bsusko,8
byuofu,4
carofine,1
centerpiece,7
charlotteann,10
chgolitigator,12
chicagows213,4
cloud,3
co-d,1
college31,12
coloradoboy2,1
cookemnstr22,1
cookiemonster,1
cph626,51
crispjb,11
crypt_ovo,3
cryptoblogger,49
dangersc,14
danielblakely,2
davbruce21,3
davejr81,3
daveliz55,17
davidpatrick08,13
deleonlakers2000,11
dfeog,2
dhoovey,2
doctabre,2
dog29,1
donk3ykong81,8
drcrazy,4
drpineapplez,1
dstix11,1
dublin17,1
el_camino,1
eldun,1
epsilondelta1203,9
esotericpa,9
eze-e312,13
floreski,1
flyingninja,9
galileo,19
gamerchick39,3
ghedoicy,7
giaunit,2
ginganinja8,2
ginobili_fan,2
gozags,20
guvv,7
heffery,10
iiiericiii,9
infininight,9
jalbo1,10
james,2
jbatlfalcons,4
jbbasics,16
jbrown1310,2
jconc13,1
jdbeltz,18
jeffslugs,6
jenkins,1
jenndunn12m,11
jetopps,1
jimmyd,2
jimmys75,6
jjmccann2121,24
jmyers81,5
johnnyclutchcards,16
johnnykpoker,2
jtpaving,1
kobelaker824,1
kphamilton,7
kyled005,15
landolakes,4
leighham,9
madvolker,16
mambaout,3
mattcook,88
me-degen,5
metajungle,482
mgmonaco11,3
mikeyj10,5
milvec,16
misterdylan420,1
mjno23goat,9
mjzastrow1,8
mojaveo,2
mvenekam,11
netbe171,6
newlin99,7
niftymetagirl,39
njzastrow1,1
normclark,1
ntrprzr,2
nymcards,2
odin7557,4
og151,7
omgiwon,35
pajh07840,2
patelh121,106
pcahiwat,5
phanatik,1
phillywill,15
phisigfsu,14
radishdijital,1
radishkabal6,39
randorino99,1
rilbiz,5
rjj007,2
robertk,1
robp343,8
rockitect,1
rodie4,3
ronfresco,117
rooktiss,1
roux1310,20
ruxy,2
sashka25,2
sbbears,1
schmoe,94
sdyote,16
shawn120,2
sheltronica,5
shua,1
shudog,4
skybo53,4
smashngrab77,35
steffen2121,11
subhubgrading,3
texhooper,4
thampster,12
the_legend,1
thecardfarmers,1
thegoat,10
theripper,3
thestranger,12
timmay_castags,2
titomachado,13
todaysspecial,1
topherjack,1
tsage225,8
tt9s,6
uahjames,1
varcak,1
viking91107,19
vinnymac11,1
weasel368,1
westau,1
whodat13,1
wisrhino,15
xheryk,69
yop7,3
yoyo909,11
